algorithm,num_temps,schedule,run,min_energy,mean_energy,runtime_s
SA,5,logT,0,-1.6637628078,-1.6119551659,0.0371
SA,5,logT,1,-1.6596622467,-1.6121091843,0.0370
SA,5,logT,2,-1.6656202078,-1.6119441986,0.0371
SA,5,logT,3,-1.6666507721,-1.6122211218,0.0371
SA,5,logT,4,-1.6647237539,-1.6118723154,0.0371
SA,5,logT,5,-1.6606609821,-1.6122099161,0.0371
SA,5,logT,6,-1.6607534885,-1.6122820377,0.0371
SA,5,logT,7,-1.6613906622,-1.6119239330,0.0371
SA,5,logT,8,-1.6593198776,-1.6122443676,0.0371
SA,5,logT,9,-1.6635797024,-1.6119521856,0.0371
SA,10,logT,0,-1.6748958826,-1.6335806847,0.0834
SA,10,logT,1,-1.6780830622,-1.6338306665,0.0834
SA,10,logT,2,-1.6763228178,-1.6339412928,0.0834
SA,10,logT,3,-1.6757893562,-1.6339967251,0.0834
SA,10,logT,4,-1.6713777781,-1.6340476274,0.0833
SA,10,logT,5,-1.6757022142,-1.6340391636,0.0834
SA,10,logT,6,-1.6770976782,-1.6337860823,0.0834
SA,10,logT,7,-1.6785757542,-1.6339590549,0.0834
SA,10,logT,8,-1.6744598150,-1.6339203119,0.0834
SA,10,logT,9,-1.6787528992,-1.6338063478,0.0834
SA,20,logT,0,-1.6816761494,-1.6477413177,0.1760
SA,20,logT,1,-1.6811685562,-1.6475172043,0.1761
SA,20,logT,2,-1.6848577261,-1.6475148201,0.1761
SA,20,logT,3,-1.6838767529,-1.6476228237,0.1760
SA,20,logT,4,-1.6809309721,-1.6473641396,0.1760
SA,20,logT,5,-1.6841050386,-1.6476265192,0.1760
SA,20,logT,6,-1.6826115847,-1.6475867033,0.1760
SA,20,logT,7,-1.6861057281,-1.6476910114,0.1760
SA,20,logT,8,-1.6829372644,-1.6474190950,0.1761
SA,20,logT,9,-1.6821546555,-1.6476197243,0.1760
SA,30,logT,0,-1.6882084608,-1.6538690329,0.2686
SA,30,logT,1,-1.6891652346,-1.6537973881,0.2686
SA,30,logT,2,-1.6894017458,-1.6537998915,0.2687
SA,30,logT,3,-1.6840852499,-1.6537135839,0.2686
SA,30,logT,4,-1.6866830587,-1.6537619829,0.2686
SA,30,logT,5,-1.6865565777,-1.6540406942,0.2687
SA,30,logT,6,-1.6874183416,-1.6538221836,0.2686
SA,30,logT,7,-1.6844968796,-1.6538658142,0.2687
SA,30,logT,8,-1.6859182119,-1.6540279388,0.2687
SA,30,logT,9,-1.6884460449,-1.6540791988,0.2686
SA,50,logT,0,-1.6884055138,-1.6604136229,0.4541
SA,50,logT,1,-1.6922473907,-1.6603946686,0.4539
SA,50,logT,2,-1.6872189045,-1.6605285406,0.4540
SA,50,logT,3,-1.6866012812,-1.6605131626,0.4539
SA,50,logT,4,-1.6868579388,-1.6604996920,0.4539
SA,50,logT,5,-1.6877403259,-1.6604226828,0.4538
SA,50,logT,6,-1.6890794039,-1.6608196497,0.4539
SA,50,logT,7,-1.6868809462,-1.6606074572,0.4538
SA,50,logT,8,-1.6900061369,-1.6606603861,0.4539
SA,50,logT,9,-1.6862629652,-1.6605005264,0.4539
SA,80,logT,0,-1.6909265518,-1.6655777693,0.7319
SA,80,logT,1,-1.6908130646,-1.6654456854,0.7319
SA,80,logT,2,-1.6905285120,-1.6654748917,0.7319
SA,80,logT,3,-1.6909478903,-1.6655746698,0.7319
SA,80,logT,4,-1.6907234192,-1.6657346487,0.7320
SA,80,logT,5,-1.6910376549,-1.6654881239,0.7320
SA,80,logT,6,-1.6905752420,-1.6656453609,0.7321
SA,80,logT,7,-1.6896182299,-1.6655064821,0.7317
SA,80,logT,8,-1.6889976263,-1.6655875444,0.7318
SA,80,logT,9,-1.6903203726,-1.6655173302,0.7319
