algorithm,num_temps,schedule,run,min_energy,mean_energy,runtime_s
SA,5,logT,0,-1.7247737646,-1.6720042229,0.0485
SA,5,logT,1,-1.7254998684,-1.6717379093,0.0485
SA,5,logT,2,-1.7208824158,-1.6719182730,0.0485
SA,5,logT,3,-1.7290699482,-1.6717830896,0.0484
SA,5,logT,4,-1.7284407616,-1.6717236042,0.0485
SA,5,logT,5,-1.7208204269,-1.6716277599,0.0484
SA,5,logT,6,-1.7255588770,-1.6717796326,0.0485
SA,5,logT,7,-1.7272757292,-1.6718047857,0.0485
SA,5,logT,8,-1.7230139971,-1.6719825268,0.0485
SA,5,logT,9,-1.7224895954,-1.6718078852,0.0484
SA,10,logT,0,-1.7379232645,-1.6943072081,0.1091
SA,10,logT,1,-1.7370108366,-1.6941745281,0.1090
SA,10,logT,2,-1.7371172905,-1.6942137480,0.1090
SA,10,logT,3,-1.7359178066,-1.6939729452,0.1090
SA,10,logT,4,-1.7375268936,-1.6940747499,0.1090
SA,10,logT,5,-1.7373822927,-1.6943069696,0.1090
SA,10,logT,6,-1.7371011972,-1.6939370632,0.1090
SA,10,logT,7,-1.7378038168,-1.6941039562,0.1090
SA,10,logT,8,-1.7344900370,-1.6938196421,0.1091
SA,10,logT,9,-1.7347415686,-1.6938589811,0.1090
SA,20,logT,0,-1.7424923182,-1.7080606222,0.2302
SA,20,logT,1,-1.7455227375,-1.7077660561,0.2301
SA,20,logT,2,-1.7439068556,-1.7079787254,0.2301
SA,20,logT,3,-1.7471890450,-1.7079354525,0.2302
SA,20,logT,4,-1.7452613115,-1.7078461647,0.2302
SA,20,logT,5,-1.7409927845,-1.7079958916,0.2302
SA,20,logT,6,-1.7446297407,-1.7079321146,0.2302
SA,20,logT,7,-1.7415715456,-1.7081726789,0.2302
SA,20,logT,8,-1.7406704426,-1.7079844475,0.2301
SA,20,logT,9,-1.7423377037,-1.7079066038,0.2302
SA,30,logT,0,-1.7487552166,-1.7139425278,0.3513
SA,30,logT,1,-1.7462161779,-1.7142167091,0.3513
SA,30,logT,2,-1.7459133863,-1.7143256664,0.3512
SA,30,logT,3,-1.7447832823,-1.7142690420,0.3512
SA,30,logT,4,-1.7455389500,-1.7143574953,0.3512
SA,30,logT,5,-1.7473417521,-1.7142097950,0.3513
SA,30,logT,6,-1.7454814911,-1.7141487598,0.3513
SA,30,logT,7,-1.7451350689,-1.7143907547,0.3513
SA,30,logT,8,-1.7465198040,-1.7141394615,0.3513
SA,30,logT,9,-1.7482793331,-1.7142416239,0.3512
SA,50,logT,0,-1.7498568296,-1.7208563089,0.5935
SA,50,logT,1,-1.7506688833,-1.7211167812,0.5935
SA,50,logT,2,-1.7481763363,-1.7210154533,0.5936
SA,50,logT,3,-1.7478716373,-1.7210056782,0.5935
SA,50,logT,4,-1.7493853569,-1.7208819389,0.5935
SA,50,logT,5,-1.7469574213,-1.7210146189,0.5935
SA,50,logT,6,-1.7478680611,-1.7208540440,0.5935
SA,50,logT,7,-1.7473365068,-1.7211531401,0.5935
SA,50,logT,8,-1.7468521595,-1.7211058140,0.5935
SA,50,logT,9,-1.7509543896,-1.7209455967,0.5934
SA,80,logT,0,-1.7496318817,-1.7259094715,0.9569
SA,80,logT,1,-1.7503899336,-1.7259145975,0.9569
SA,80,logT,2,-1.7494121790,-1.7258682251,0.9569
SA,80,logT,3,-1.7509530783,-1.7258195877,0.9569
SA,80,logT,4,-1.7496852875,-1.7259669304,0.9569
SA,80,logT,5,-1.7503174543,-1.7260162830,0.9570
SA,80,logT,6,-1.7482030392,-1.7260363102,0.9569
SA,80,logT,7,-1.7526928186,-1.7261081934,0.9570
SA,80,logT,8,-1.7492368221,-1.7261037827,0.9570
SA,80,logT,9,-1.7520138025,-1.7260028124,0.9569
SA,120,logT,0,-1.7527036667,-1.7296341658,1.4414
SA,120,logT,1,-1.7505413294,-1.7294543982,1.4414
SA,120,logT,2,-1.7517720461,-1.7295404673,1.4414
SA,120,logT,3,-1.7512017488,-1.7296512127,1.4415
SA,120,logT,4,-1.7520811558,-1.7296530008,1.4413
SA,120,logT,5,-1.7523604631,-1.7295638323,1.4415
SA,120,logT,6,-1.7518699169,-1.7296807766,1.4415
SA,120,logT,7,-1.7494531870,-1.7297716141,1.4415
SA,120,logT,8,-1.7512357235,-1.7295179367,1.4414
SA,120,logT,9,-1.7522866726,-1.7296094894,1.4415
SA,180,logT,0,-1.7522850037,-1.7324455976,2.1677
SA,180,logT,1,-1.7516493797,-1.7326282263,2.1675
SA,180,logT,2,-1.7520139217,-1.7326866388,2.1676
SA,180,logT,3,-1.7529593706,-1.7326670885,2.1674
SA,180,logT,4,-1.7516255379,-1.7326880693,2.1675
SA,180,logT,5,-1.7521160841,-1.7327840328,2.1675
SA,180,logT,6,-1.7519390583,-1.7325950861,2.1675
SA,180,logT,7,-1.7527693510,-1.7326223850,2.1673
SA,180,logT,8,-1.7513494492,-1.7325845957,2.1675
SA,180,logT,9,-1.7527481318,-1.7327253819,2.1675
PA,5,logT,0,-1.7152645588,-1.7143758535,0.2585
PA,5,logT,1,-1.7191932201,-1.7185806036,0.0352
PA,5,logT,2,-1.7169772387,-1.7167099714,0.0351
PA,5,logT,3,-1.7063621283,-1.7059811354,0.0351
PA,5,logT,4,-1.7209770679,-1.7200911045,0.0352
PA,5,logT,5,-1.7219727039,-1.7213145494,0.0351
PA,5,logT,6,-1.7286220789,-1.7281775475,0.0352
PA,5,logT,7,-1.7148448229,-1.7142581940,0.0352
PA,5,logT,8,-1.7025496960,-1.7003953457,0.0351
PA,5,logT,9,-1.7215276957,-1.7210977077,0.0352
PA,10,logT,0,-1.7428888083,-1.7426519394,0.0790
PA,10,logT,1,-1.7433967590,-1.7430167198,0.0791
PA,10,logT,2,-1.7432700396,-1.7427192926,0.0791
PA,10,logT,3,-1.7363724709,-1.7354062796,0.0790
PA,10,logT,4,-1.7416105270,-1.7413237095,0.0791
PA,10,logT,5,-1.7352536917,-1.7346600294,0.0791
PA,10,logT,6,-1.7362989187,-1.7357665300,0.0790
PA,10,logT,7,-1.7426570654,-1.7422071695,0.0790
PA,10,logT,8,-1.7300677299,-1.7295917273,0.0790
PA,10,logT,9,-1.7452454567,-1.7447549105,0.0790
PA,20,logT,0,-1.7498044968,-1.7487392426,0.1669
PA,20,logT,1,-1.7466521263,-1.7461299896,0.1668
PA,20,logT,2,-1.7499697208,-1.7495703697,0.1669
PA,20,logT,3,-1.7487925291,-1.7483941317,0.1669
PA,20,logT,4,-1.7489556074,-1.7486177683,0.1668
PA,20,logT,5,-1.7505706549,-1.7496482134,0.1669
PA,20,logT,6,-1.7502601147,-1.7498295307,0.1668
PA,20,logT,7,-1.7470716238,-1.7467755079,0.1668
PA,20,logT,8,-1.7505995035,-1.7501699924,0.1669
PA,20,logT,9,-1.7515399456,-1.7507861853,0.1668
PA,30,logT,0,-1.7531321049,-1.7523267269,0.2548
PA,30,logT,1,-1.7507581711,-1.7499036789,0.2547
PA,30,logT,2,-1.7533750534,-1.7529515028,0.2546
PA,30,logT,3,-1.7497940063,-1.7493906021,0.2547
PA,30,logT,4,-1.7512152195,-1.7505164146,0.2545
PA,30,logT,5,-1.7520780563,-1.7516465187,0.2547
PA,30,logT,6,-1.7533750534,-1.7526479959,0.2547
PA,30,logT,7,-1.7533750534,-1.7529723644,0.2546
PA,30,logT,8,-1.7506945133,-1.7503883839,0.2548
PA,30,logT,9,-1.7533750534,-1.7529878616,0.2547
PA,50,logT,0,-1.7523448467,-1.7519755363,0.4302
PA,50,logT,1,-1.7533750534,-1.7528791428,0.4304
PA,50,logT,2,-1.7533750534,-1.7529681921,0.4301
PA,50,logT,3,-1.7533750534,-1.7529596090,0.4303
PA,50,logT,4,-1.7521566153,-1.7516567707,0.4305
PA,50,logT,5,-1.7533750534,-1.7526459694,0.4301
PA,50,logT,6,-1.7533750534,-1.7529778481,0.4304
PA,50,logT,7,-1.7533750534,-1.7529056072,0.4304
PA,50,logT,8,-1.7533750534,-1.7529284954,0.4302
PA,50,logT,9,-1.7533091307,-1.7528885603,0.4304
PA,80,logT,0,-1.7533750534,-1.7529802322,0.6934
PA,80,logT,1,-1.7533750534,-1.7529041767,0.6938
PA,80,logT,2,-1.7533750534,-1.7529474497,0.6940
PA,80,logT,3,-1.7533750534,-1.7529895306,0.6934
PA,80,logT,4,-1.7533750534,-1.7529656887,0.6941
PA,80,logT,5,-1.7533750534,-1.7529202700,0.6937
PA,80,logT,6,-1.7533750534,-1.7529553175,0.6935
PA,80,logT,7,-1.7533750534,-1.7529407740,0.6940
PA,80,logT,8,-1.7533750534,-1.7529141903,0.6934
PA,80,logT,9,-1.7533750534,-1.7529587746,0.6937
PA,120,logT,0,-1.7533750534,-1.7529270649,1.0453
PA,120,logT,1,-1.7533750534,-1.7529783249,1.0444
PA,120,logT,2,-1.7533750534,-1.7529507875,1.0455
PA,120,logT,3,-1.7533750534,-1.7529315948,1.0451
PA,120,logT,4,-1.7533750534,-1.7529723644,1.0447
PA,120,logT,5,-1.7533750534,-1.7529528141,1.0453
PA,120,logT,6,-1.7533750534,-1.7529438734,1.0444
PA,120,logT,7,-1.7533750534,-1.7529052496,1.0452
PA,120,logT,8,-1.7533750534,-1.7529740334,1.0454
PA,120,logT,9,-1.7533750534,-1.7529280186,1.0444
PA,180,logT,0,-1.7533750534,-1.7529596090,1.5726
PA,180,logT,1,-1.7533750534,-1.7529156208,1.5720
PA,180,logT,2,-1.7533750534,-1.7529773712,1.5713
PA,180,logT,3,-1.7533750534,-1.7528897524,1.5724
PA,180,logT,4,-1.7533750534,-1.7529029846,1.5710
PA,180,logT,5,-1.7533750534,-1.7529219389,1.5717
PA,180,logT,6,-1.7533750534,-1.7529009581,1.5723
PA,180,logT,7,-1.7533750534,-1.7529524565,1.5712
PA,180,logT,8,-1.7533750534,-1.7529563904,1.5726
PA,180,logT,9,-1.7533750534,-1.7529253960,1.5718
GA,5,logT,0,-1.7410674095,-1.7005745173,12.0742
GA,5,logT,1,-1.7438945770,-1.7005543709,3.7265
GA,5,logT,2,-1.7396446466,-1.7005441189,3.7545
GA,5,logT,3,-1.7397491932,-1.7007266283,3.7567
GA,5,logT,4,-1.7392361164,-1.7005790472,3.7446
GA,5,logT,5,-1.7383990288,-1.7003178596,3.7665
GA,5,logT,6,-1.7423443794,-1.7006111145,3.7549
GA,5,logT,7,-1.7392826080,-1.7005914450,3.6663
GA,5,logT,8,-1.7418981791,-1.7004257441,3.6843
GA,5,logT,9,-1.7382228374,-1.7004121542,3.6568
GA,10,logT,0,-1.7462729216,-1.7186290026,5.9753
GA,10,logT,1,-1.7463252544,-1.7186013460,6.0220
GA,10,logT,2,-1.7455601692,-1.7187153101,6.0530
GA,10,logT,3,-1.7479311228,-1.7185117006,6.0130
GA,10,logT,4,-1.7459424734,-1.7185928822,5.9826
GA,10,logT,5,-1.7473120689,-1.7187219858,5.9759
GA,10,logT,6,-1.7458379269,-1.7185860872,5.9201
GA,10,logT,7,-1.7456086874,-1.7184954882,6.0617
GA,10,logT,8,-1.7472730875,-1.7187764645,6.0185
GA,10,logT,9,-1.7480570078,-1.7183990479,5.9831
GA,20,logT,0,-1.7494573593,-1.7275571823,10.5677
GA,20,logT,1,-1.7522540092,-1.7274806499,10.6051
GA,20,logT,2,-1.7505728006,-1.7276692390,10.6989
GA,20,logT,3,-1.7508472204,-1.7275859118,10.6972
GA,20,logT,4,-1.7510584593,-1.7275236845,10.5538
GA,20,logT,5,-1.7490643263,-1.7275707722,10.6895
GA,20,logT,6,-1.7504671812,-1.7276227474,10.7587
GA,20,logT,7,-1.7504574060,-1.7275238037,10.6484
GA,20,logT,8,-1.7519663572,-1.7277232409,10.5415
GA,20,logT,9,-1.7504856586,-1.7275847197,10.6720
GA,30,logT,0,-1.7527226210,-1.7334593534,15.4609
GA,30,logT,1,-1.7516338825,-1.7336781025,15.3221
GA,30,logT,2,-1.7530661821,-1.7339161634,15.3334
GA,30,logT,3,-1.7530138493,-1.7335821390,15.4972
GA,30,logT,4,-1.7504937649,-1.7335222960,15.2312
GA,30,logT,5,-1.7526315451,-1.7338297367,15.2441
GA,30,logT,6,-1.7522441149,-1.7337867022,15.1898
GA,30,logT,7,-1.7517529726,-1.7336938381,15.4336
GA,30,logT,8,-1.7529753447,-1.7334449291,15.4091
GA,30,logT,9,-1.7517946959,-1.7337406874,15.3893
GA,50,logT,0,-1.7533750534,-1.7529381514,24.9175
GA,50,logT,1,-1.7533750534,-1.7529335022,24.6048
GA,50,logT,2,-1.7533750534,-1.7529387474,24.7089
GA,50,logT,3,-1.7533750534,-1.7529373169,24.6382
GA,50,logT,4,-1.7533750534,-1.7529395819,24.5384
GA,50,logT,5,-1.7533750534,-1.7529342175,24.6262
GA,50,logT,6,-1.7533750534,-1.7529352903,24.7323
GA,50,logT,7,-1.7533750534,-1.7529344559,24.5715
GA,50,logT,8,-1.7533750534,-1.7529265881,24.5343
GA,50,logT,9,-1.7533750534,-1.7529348135,26.2874
GA,80,logT,0,-1.7533750534,-1.7529191971,39.0035
GA,80,logT,1,-1.7533750534,-1.7529214621,38.5866
GA,80,logT,2,-1.7533750534,-1.7529261112,38.6578
GA,80,logT,3,-1.7533750534,-1.7529193163,38.4980
GA,80,logT,4,-1.7533750534,-1.7529282570,38.5210
GA,80,logT,5,-1.7533750534,-1.7529312372,38.6974
GA,80,logT,6,-1.7533750534,-1.7529309988,38.6002
GA,80,logT,7,-1.7533750534,-1.7529282570,38.8236
GA,80,logT,8,-1.7533750534,-1.7529300451,38.4817
GA,80,logT,9,-1.7533750534,-1.7529313564,38.8362
GA,120,logT,0,-1.7533750534,-1.7529252768,58.2251
GA,120,logT,1,-1.7533750534,-1.7529137135,57.1252
GA,120,logT,2,-1.7533750534,-1.7529222965,57.0963
GA,120,logT,3,-1.7533750534,-1.7529170513,57.6619
GA,120,logT,4,-1.7533750534,-1.7529124022,58.2433
GA,120,logT,5,-1.7533750534,-1.7529195547,57.8520
GA,120,logT,6,-1.7533750534,-1.7529268265,57.6164
GA,120,logT,7,-1.7533750534,-1.7529087067,57.3143
GA,120,logT,8,-1.7533750534,-1.7529165745,57.1711
GA,120,logT,9,-1.7533750534,-1.7529290915,57.1217
GA,180,logT,0,-1.7533750534,-1.7529193163,85.6045
GA,180,logT,1,-1.7533750534,-1.7529144287,84.9356
GA,180,logT,2,-1.7533750534,-1.7529165745,85.0880
GA,180,logT,3,-1.7533750534,-1.7529072762,86.1175
GA,180,logT,4,-1.7533750534,-1.7529170513,85.3446
GA,180,logT,5,-1.7533750534,-1.7529132366,85.2218
GA,180,logT,6,-1.7533750534,-1.7529194355,85.1254
GA,180,logT,7,-1.7533750534,-1.7529221773,89.3521
GA,180,logT,8,-1.7533750534,-1.7529124022,85.8290
GA,180,logT,9,-1.7533750534,-1.7529205084,85.6628
