algorithm,num_temps,schedule,run,min_energy,mean_energy,runtime_s
GA,10,logT,9,-1.6283702850,-1.6011465788,3.1222
GA,20,logT,0,-1.6283702850,-1.6280616522,4.5504
GA,20,logT,1,-1.6283702850,-1.6280748844,4.5291
GA,20,logT,2,-1.6283702850,-1.6280593872,4.5079
GA,20,logT,3,-1.6283702850,-1.6280678511,4.4605
GA,20,logT,4,-1.6283702850,-1.6280668974,4.5092
GA,20,logT,5,-1.6283702850,-1.6280786991,4.5032
GA,20,logT,6,-1.6283702850,-1.6280752420,4.4265
GA,20,logT,7,-1.6283702850,-1.6280616522,4.4745
GA,20,logT,8,-1.6283702850,-1.6280583143,4.4576
GA,20,logT,9,-1.6283702850,-1.6280804873,4.4542
GA,30,logT,0,-1.6283702850,-1.6280622482,6.0031
GA,30,logT,1,-1.6283702850,-1.6280822754,6.0654
GA,30,logT,2,-1.6283702850,-1.6280765533,6.0482
GA,30,logT,3,-1.6283702850,-1.6280789375,6.0368
GA,30,logT,4,-1.6283702850,-1.6280618906,6.0323
GA,30,logT,5,-1.6283702850,-1.6280725002,6.1207
GA,30,logT,6,-1.6283702850,-1.6280740499,6.0459
GA,30,logT,7,-1.6283702850,-1.6280666590,6.0145
GA,30,logT,8,-1.6283702850,-1.6280692816,5.9892
GA,30,logT,9,-1.6283702850,-1.6280806065,6.1161
GA,50,logT,0,-1.6283702850,-1.6280876398,9.0562
GA,50,logT,1,-1.6283702850,-1.6280763149,9.0365
GA,50,logT,2,-1.6283702850,-1.6280822754,9.1310
GA,50,logT,3,-1.6283702850,-1.6280686855,8.9992
GA,50,logT,4,-1.6283702850,-1.6280853748,9.0066
GA,50,logT,5,-1.6283702850,-1.6280838251,8.9568
GA,50,logT,6,-1.6283702850,-1.6280721426,8.9019
GA,50,logT,7,-1.6283702850,-1.6280859709,8.8818
GA,50,logT,8,-1.6283702850,-1.6280610561,8.8896
GA,50,logT,9,-1.6283702850,-1.6280944347,8.9617
