algorithm,num_temps,n_runs,success_rate,mean_time,std_time
GA,5,10,0.0,4.014809999999999,2.381290393232207
GA,10,10,0.0,5.16409,0.03339384524130148
GA,20,10,0.0,9.04016,0.04035381518518426
GA,30,10,0.0,12.92285,0.05466679522342606
GA,50,10,0.0,20.55584,0.04386342895852982
GA,80,10,0.2,32.286970000000004,0.5350820349254871
GA,120,10,1.0,47.730990000000006,0.26622353182992664
GA,180,10,1.0,71.27696999999999,0.4725640783005003
PA,5,10,0.0,0.04737000000000001,0.059609999999999996
PA,10,10,0.0,0.06176999999999999,4.5825756949559716e-05
PA,20,10,0.0,0.13045,5.000000000000837e-05
PA,30,10,0.0,0.19909000000000002,9.433981132056125e-05
PA,50,10,0.0,0.33626999999999996,0.0001345362404707318
PA,80,10,0.0,0.5422,0.0001483239697418969
PA,120,10,0.0,0.8168,0.00026457513110645926
PA,180,10,0.0,1.2286100000000002,0.0003477067730142985
SA,5,10,0.0,0.03709,3.0000000000000858e-05
SA,10,10,0.0,0.08339,3.000000000000086e-05
SA,20,10,0.0,0.17602999999999996,4.582575694956607e-05
SA,30,10,0.0,0.26864,4.898979485565817e-05
SA,50,10,0.0,0.45391000000000004,8.306623862918631e-05
SA,80,10,0.0,0.7319099999999998,0.00010440306508909401
SA,120,10,0.0,1.101,0.0016619265928434037
SA,180,10,0.0,1.6531500000000001,0.00017464249196571057
